date,tweet,sentiment,saham
"2019-01-09","Investor asing mencatat net buy pada pasar reguler sebesar Rp 836,7 miliar, dengan net buy tertinggi oleh BBRI, BMRI dan ASII. #MarketReview","","bbri"
"2019-01-09","$WSKT asing makin tebal, $IKAI menuju 250, $KPAS, $BKSL, $BBRI, $ERNG dan $MAPI broh @Ahmf_fadli","","bbri"
"2019-01-09","Niat mau jual bbri di 3700, lah pas buka aplikasi harganya udh di 3740, pas mau jual malah turun di 3720, kzl...","","bbri"
"2019-01-09","Indeks Bisnis27 Menguat pada Sesi I, BMRI & BBRI Pendorong Utama http:// bit.ly/2RHESkU","","bbri"
"2019-01-09","[BERITA] Sepanjang 2018 Terbanyak Dijual Asing, Tahun Ini Saham BBRI Mulai Diburu - Total net sell asing saham BBRI pada 2018 mencapai Rp9,11 triliun http:// bit.ly/2CZLW4x","","bbri"
"2019-01-09","bbri yang ku punya sedari dulu sejatinya modal untuk ss ataupun merit heheheheheheehehehehe","","bbri"
"2019-01-09","Investment news; Finance sector IDR1,186.90 B (0.05%) BBTN: IDR2,730 (3.41%) BBRI: IDR3,680 (0.55%) BMRI: IDR7,350 (-1.01%) BBNI: IDR8,900 (0.28%) BNLI: IDR605 (-3.20%) BNGA: IDR1,100 (-1.35%) BTPN: IDR3,630 (2.83%) BBCA: IDR26,200 (-0.10%)","","bbri"
"2019-01-10","Analisa Teknikal #BBRI #CARS #LTLS #SRIL #IMAS #BBKP #FASW: http:// youtu.be/R4CTblPih7A?a via @YouTube","","bbri"
"2019-01-10","Investor asing mencatat net buy pada pasar reguler sebesar Rp 613,1 miliar, dengan net buy tertinggi oleh BBRI, BMRI dan TLKM. #MarketReview","","bbri"
"2019-01-10","Data @IDX_BEI mengungkapkan investor asing cukup tinggi melakukan aksi beli (net buy) di semua pasar hingga mencapai Rp 776 miliar hari ini. https:// cnbcindonesia.com/market/2019011 0161441-17-50065/asing-masuk-lagi-rp-776-m-bbri-bmri-diborong?utm_source=twitter&utm_medium=oa&utm_campaign=cnbcsocmed …","","bbri"
"2019-01-10","Mantul. BBRI lagi rame banget. Baca2 berita yg terkait emiten juga ga?","","bbri"
"2019-01-10","Top foreign net buy: BBRI, BMRI, ASII, UNTR, PGAS. Top foreign net sell: ISAT, MNCN, GGRM, ADRO, UNVR. #DailyReport","","bbri"
"2019-01-11","Leading Movers: TLKM, CPIN, ASII, INTP, MKPI. Lagging Movers: BBRI, SMGR, UNTR, TELE, POLI. #MarketReview","","bbri"
"2019-01-11","Top foreign net buy: BBRI, BMRI, TLKM, ASII, BBNI. Top foreign net sell: BBCA, SRIL, BDMN, ASSA, BJTM. #DailyReport","","bbri"
