epoch,train_loss,train_acc,val_loss,val_acc,val_f1,runtime_sec
1,0.33082,0.7948,0.1393,0.9479,0.9614,203.51
2,0.07077,0.9798,0.17848,0.9666,0.9759,205.7
3,0.01618,0.996,0.1922,0.9693,0.9778,206.11
4,0.00648,0.9984,0.24025,0.9693,0.9779,208.14
5,0.00357,0.9994,0.22051,0.9706,0.9788,207.16
